Date,DailyProfit,ActiveSignals
29/06/2015 00:00:00,-2.435599,2
30/06/2015 00:00:00,0,4
09/07/2015 00:00:00,10,2
21/08/2015 00:00:00,-11.84162,3
12/11/2015 00:00:00,2.907872,2
13/11/2015 00:00:00,0,1
04/12/2015 00:00:00,-3.5,2
09/12/2015 00:00:00,-5.6,3
10/12/2015 00:00:00,0,1
11/12/2015 00:00:00,10,4
21/12/2015 00:00:00,2.905197,3
22/12/2015 00:00:00,0,1
06/01/2016 00:00:00,-3.5,4
07/01/2016 00:00:00,-5.6,4
05/04/2016 00:00:00,3.980247,2
11/04/2016 00:00:00,6,1
27/04/2016 00:00:00,-3.5,2
28/04/2016 00:00:00,-2.1,1
05/05/2016 00:00:00,3.31844,6
17/05/2016 00:00:00,5.421689,2
19/05/2016 00:00:00,0,2
10/06/2016 00:00:00,-2.1,1
13/06/2016 00:00:00,6.730769,2
14/06/2016 00:00:00,0,3
15/06/2016 00:00:00,0,1
17/06/2016 00:00:00,0,1
21/06/2016 00:00:00,-5.199999,2
24/06/2016 00:00:00,6,1
28/06/2016 00:00:00,7.854406,6
25/07/2016 00:00:00,3.464867,2
02/08/2016 00:00:00,5.4577,2
25/08/2016 00:00:00,3.146555,2
09/09/2016 00:00:00,-2.1,1
13/09/2016 00:00:00,9.261399,2
15/09/2016 00:00:00,0,2
20/09/2016 00:00:00,0,2
12/10/2016 00:00:00,1.942379,1
18/10/2016 00:00:00,3.225295,2
31/10/2016 00:00:00,-5.6,4
02/11/2016 00:00:00,3.507461,1
04/11/2016 00:00:00,10,2
02/12/2016 00:00:00,5.349635,2
28/12/2016 00:00:00,3.375511,1
30/12/2016 00:00:00,8.24201,6
10/01/2017 00:00:00,0.8356515,2
19/01/2017 00:00:00,6.773858,2
23/01/2017 00:00:00,0,1
01/02/2017 00:00:00,1.565875,2
15/02/2017 00:00:00,-2.467053,1
24/02/2017 00:00:00,2.556656,2
28/02/2017 00:00:00,1.923745,1
08/03/2017 00:00:00,4.093748,2
20/03/2017 00:00:00,-3.5,2
22/03/2017 00:00:00,1.874999,3
23/03/2017 00:00:00,4.084864,2
10/04/2017 00:00:00,-2.1,1
12/04/2017 00:00:00,2.093021,2
13/04/2017 00:00:00,0,3
18/04/2017 00:00:00,0,1
17/05/2017 00:00:00,5.255476,1
22/06/2017 00:00:00,-3.5,2
03/07/2017 00:00:00,2.058108,2
01/08/2017 00:00:00,-3.5,2
10/08/2017 00:00:00,-0.02255691,1
11/08/2017 00:00:00,3.484727,2
14/08/2017 00:00:00,0,2
18/08/2017 00:00:00,0,2
21/08/2017 00:00:00,3.352834,4
07/09/2017 00:00:00,5.301262,2
25/09/2017 00:00:00,3.960783,2
09/10/2017 00:00:00,2.645031,1
20/10/2017 00:00:00,-3.5,2
09/11/2017 00:00:00,-3.5,1
14/11/2017 00:00:00,0,1
15/11/2017 00:00:00,7.695953,2
06/12/2017 00:00:00,5.649036,2
29/12/2017 00:00:00,4.992388,3
29/01/2018 00:00:00,-2.1,1
31/01/2018 00:00:00,-3.5,2
01/02/2018 00:00:00,0,1
02/02/2018 00:00:00,-5.6,3
05/02/2018 00:00:00,-9.51723,3
06/02/2018 00:00:00,-3.5,2
09/02/2018 00:00:00,11.17633,3
02/03/2018 00:00:00,6.406721,4
21/03/2018 00:00:00,-3.5,3
22/03/2018 00:00:00,-5.6,4
25/04/2018 00:00:00,3.628257,2
29/05/2018 00:00:00,9.761013,2
19/06/2018 00:00:00,-3.5,2
20/06/2018 00:00:00,0,1
25/06/2018 00:00:00,1.044734,2
27/06/2018 00:00:00,0,3
30/07/2018 00:00:00,3.810188,1
31/07/2018 00:00:00,5.792467,3
10/08/2018 00:00:00,-3.5,2
13/08/2018 00:00:00,2.207966,1
10/09/2018 00:00:00,3.473461,2
13/09/2018 00:00:00,0,1
27/09/2018 00:00:00,-3.5,3
08/10/2018 00:00:00,-3.5,2
10/10/2018 00:00:00,-5.6,4
11/10/2018 00:00:00,4.140969,2
12/10/2018 00:00:00,0,1
22/10/2018 00:00:00,-3.99361,2
26/10/2018 00:00:00,5.280624,3
14/11/2018 00:00:00,-3.5,2
17/12/2018 00:00:00,-2.1,1
21/12/2018 00:00:00,-2.1,1
